BackpressureLL__c,BackpressureUL__c,PalletDesign__c,PalletMatlCode__c,PalletType__c,PosProxSensorAvailable__c,PTC__c,SettingLL__c,SettingUL__c,SpacerYN__c,SZC__c,WeightMatlCode__c
-14.696,20,Machined,5,N,N,1460,16,240,N,06,S
-14.696,12,HollowStem,5,N,N,1220A,0.4999,0.6,N,06,S
-14.696,12,HollowStem,5,N,N,1220A,0.4999,0.6,N,06,L
20,100,Machined,5,N,N,1460,6.931408,240,N,06,NA
20,100,Machined,5,N,N,1220A,2.4999,21.3,N,06,S
-14.696,12,Spun,1,N,N,1220A,0.3999,5,N,06,S
-14.696,12,Spun,5,N,N,1460,1.156016,4.046258,N,06,S
-14.696,20,Stamped,5,N,N,1220A,5,16,N,06,L
-14.696,20,Machined,5,N,N,1220A,16,31.8,N,06,L
-14.696,12,Spun,5,N,N,1460,1.156016,4.046258,N,06,NA
-14.696,20,Stamped,5,N,N,1220A,5,16,N,06,S
12,20,Stamped,5,N,N,1460,3.465704,4.046258,N,06,NA
12,20,Stamped,5,N,N,1220A,1.3999,5,N,06,S
12,20,Stamped,5,N,N,1460,3.465704,4.046258,N,06,S
-14.696,20,Stamped,5,N,N,1460,4.046258,16,N,06,NA
-14.696,12,Spun,5,N,N,1460,1.156016,4.046258,N,06,L
-14.696,12,Spun,1,N,N,1460,1.156016,4.046258,N,06,NA
-14.696,12,Spun,5,N,N,1220A,0.6,5,N,06,L
-14.696,20,Stamped,5,N,N,1460,4.046258,16,N,06,L
-14.696,20,Machined,5,N,N,1460,16,240,N,06,NA
20,100,Machined,5,N,N,1460,6.931408,240,N,06,L
-14.696,20,Machined,5,N,N,1460,16,240,N,06,L
-14.696,20,Stamped,5,N,N,1460,4.046258,16,N,06,S
20,100,Machined,5,N,N,1460,6.931408,240,N,06,S
-14.696,12,Spun,1,N,N,1460,1.156016,4.046258,N,06,S
-14.696,12,Spun,1,N,N,1460,1.156016,4.046258,N,06,L
-14.696,20,Machined,5,N,N,1220A,16,21.3,N,06,S
-14.696,12,Spun,5,N,N,1220A,0.6,5,N,06,S
12,20,Stamped,5,N,N,1460,3.465704,4.046258,N,06,L
12,20,Stamped,5,N,N,1220A,1.3999,5,N,06,L
-14.696,12,Spun,1,N,N,1220A,0.3999,5,N,06,L
20,100,Machined,5,N,N,1220A,2.4999,31.8,N,06,L
