ATEX__c,Availability__c,BRAND__c,CUTR__c,CurrencyIsoCode,Description__c,FA_Combo__c,GasGroup__c,MaxMAWP__c,NACE__c,OP_Percent__c,PED__c,PTC__c,PosCMethod__c,PosDir__c,PosEffDia__c,PosFullOP__c,PosIntMethod__c,PosLoad__c,PosMinOP__c,SZC__c,VacCMethod__c,VacDir__c,VacEffDia__c,VacFullOP__c,VacIntMethod__c,VacLoad__c,VacMinOP__c,Venting__c
Y,A,Groth,Y,USD,"2"" 1761A",N,6,100,Y,100,Y,1761A,C1,Y,2.07,100,Power,S,20,02,,N,,,,N,,PA
Y,A,Groth,Y,USD,"2"" 1361A Fiberglass",N,6,30,N,100,N,1361A Fiberglass,,N,,,,N,,02,C1,Y,2.07,100,Power,S,20,FV
N,A,Groth,Y,USD,"2"" 1222B Fiberglass",N,0,30,N,100,N,1222B Fiberglass,C3,Y,2.07,100,Power,F,10,02,C1,Y,2.07,100,Power,S,20,PA
Y,A,Groth,Y,USD,"2"" 1660A",N,6,30,Y,10,Y,1660A,NA,Y,2.07,10,Linear,P,10,02,,N,,,,N,,PA
Y,A,Groth,Y,USD,"2"" 2300-FA1",Y,2,30,Y,100,N,2300-FA1,C3,Y,2.07,100,Power,W,50,02,,N,,,,N,,FV
N,A,LVA,Y,USD,"2"" 1222B",N,0,100,Y,100,Y,1222B,C3,Y,2.07,100,Power,W,10,02,C1,Y,2.07,100,Power,S,20,PA
Y,A,LVA,Y,USD,"2"" 1761A",N,6,100,Y,100,Y,1761A,C1,Y,2.07,100,Power,S,20,02,,N,,,,N,,PA
Y,A,Groth,Y,USD,"2"" 2300A",N,6,100,Y,100,N,2300A,C3,Y,2.07,100,Power,W,10,02,,N,,,,N,,FV
Y,A,LVA,Y,USD,"2"" 1300A",N,6,100,Y,100,Y,1300A,,N,,,,N,,02,C3,Y,2.07,100,Power,W,10,FV
Y,A,LVA,Y,USD,"2"" 1201B",N,6,100,Y,100,Y,1201B,C1,Y,2.07,100,Power,S,20,02,C3,Y,2.07,100,Power,W,10,FV
Y,A,LVA,Y,USD,"2"" 1361A",N,6,100,Y,100,Y,1361A,,N,,,,N,,02,C1,Y,2.07,100,Power,S,20,FV
Y,A,Groth,Y,USD,"2"" 1721B",N,6,100,Y,100,Y,1721B,C1,Y,2.07,100,Power,S,20,02,C3,Y,2.07,100,Power,W,10,PA
Y,A,Groth,Y,USD,"2"" 1202-FA1",Y,2,30,Y,100,N,1202-FA1,C3,Y,2.07,100,Linear,W,50,02,C1,Y,2.07,100,Power,S,50,FV
Y,A,LVA,Y,USD,"2"" 1760A",N,6,100,Y,100,Y,1760A,C3,Y,2.07,100,Linear,W,10,02,,N,,,,N,,PA
N,A,Groth,Y,USD,"2"" 1760A/7618",Y,0,30,Y,100,N,1760A/7618,C3,Y,2.07,100,Linear,W,50,02,,N,,,,N,,PA
N,A,Groth,Y,USD,"2"" 8821A",Y,0,30,Y,100,N,8821A,C1,Y,2.07,100,Power,S,50,02,C3,Y,2.07,100,Linear,W,50,PA
N,A,LVA,Y,USD,"2"" 1223A",N,0,100,Y,100,Y,1223A,C1,Y,2.07,100,Power,S,20,02,C1,Y,2.07,100,Power,S,20,PA
Y,A,Groth,Y,USD,"2"" 1760A",N,6,100,Y,100,Y,1760A,C3,Y,2.07,100,Linear,W,10,02,,N,,,,N,,PA
Y,A,LVA,Y,USD,"2"" 2301A",N,6,100,Y,100,N,2301A,C1,Y,2.07,100,Power,S,20,02,,N,,,,N,,FV
N,A,Groth,Y,USD,"2"" 2301A/7618",Y,0,30,Y,100,N,2301A/7618,C1,Y,2.07,100,Power,S,50,02,,N,,,,N,,FV
Y,A,Groth,Y,USD,"2"" 14ETPW0",N,6,30,Y,10,Y,14ETPW0,NA,Y,2.067,10,Linear,P,10,02,NA,Y,2.067,10,Linear,W,10,FV
